Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Visitor,Guest_ID,Filename,Names,Hits
26,31 Julii 1780,1780-07-31,SCHWERDT,1,beide von Basel. Schuch von Saarbrücken. Hugenin Vatter von Müllhausen. Fourrier de Besanson. Mad. Boursiere de Paris. Mr. Maurice,26,0006.txt,"beide von Basel. Schuch von Saarbrücken, Hugenin Vatter von Müllhausen, Fourrier de Besanson, Mad. Boursiere de Paris, Mr. Maurice","beide  (https://de.wikipedia.org/wiki/Beide https://de.wikipedia.org/wiki/Beidenfleth https://de.wikipedia.org/wiki/Beidendorfer_See https://de.wikipedia.org/wiki/Beidersee https://de.wikipedia.org/wiki/Beidendorf_(Bobitz) https://de.wikipedia.org/wiki/Beiderseits_vom_Schienenweg https://de.wikipedia.org/wiki/Beidenau https://de.wikipedia.org/wiki/Beide_Irak https://de.wikipedia.org/wiki/Beiderwand https://de.wikipedia.org/wiki/Beide_Rom), . Maurice (https://de.wikipedia.org/wiki/Maurice_Ravel https://de.wikipedia.org/wiki/Maurice_Maeterlinck https://de.wikipedia.org/wiki/Maurice_Merleau-Ponty https://de.wikipedia.org/wiki/Maurice_H%C3%B6fgen https://de.wikipedia.org/wiki/Maurice_Chappaz https://de.wikipedia.org/wiki/Maurice_B%C3%A9jart https://de.wikipedia.org/wiki/Maurice_Abravanel/Diskografie https://de.wikipedia.org/wiki/Maurice_Matieu https://de.wikipedia.org/wiki/Maurice_Gibb https://de.wikipedia.org/wiki/Maurice_(Film))"
27,31 Julii 1780,1780-07-31,SCHWERDT,1,Mr. Rignon. Mr. Bock de Turin. Hr. Archivarius Schickardt von Stuttgardt. Pater Mayr. Pater Teth,27,0006.txt,"Mr. Rignon, Mr. Bock de Turin, Hr. Archivarius Schickardt von Stuttgardt, Pater Mayr, Pater Teth","Mr. Rignon (https://de.wikipedia.org/wiki/Morignone), . Rignon (https://de.wikipedia.org/wiki/Rignon https://de.wikipedia.org/wiki/Rignano_sull%E2%80%99Arno https://de.wikipedia.org/wiki/Rignovelle https://de.wikipedia.org/wiki/Rignano_Flaminio https://de.wikipedia.org/wiki/Rignosot https://de.wikipedia.org/wiki/Rignano_Garganico https://de.wikipedia.org/wiki/Rignot-Gletscher https://de.wikipedia.org/wiki/Rinon_Okuwaki https://de.wikipedia.org/wiki/Rognonas https://de.wikipedia.org/wiki/Rignano-Steuer), Pater Mayr (https://de.wikipedia.org/wiki/Pater_Martin_von_Cochem https://de.wikipedia.org/wiki/Peter_Mayr._Der_Wirt_an_der_Mahr https://de.wikipedia.org/wiki/Peter_Mayr)"
28,31 Julii 1780,1780-07-31,SCHWERDT,1,Augustiner Ord. von Constanz.,28,0006.txt,Augustiner Ord. von Constanz,Augustiner Ord.  (https://de.wikipedia.org/wiki/Augustinerorden)
29,31 Julii 1780,1780-07-31,STORCHEN,2,Mr. Predarii de Milan,29,0006.txt,Mr. Predarii de Milan,
30,31 Julii 1780,1780-07-31,STORCHEN,2,f. 2. Bride. Hertenstein von Roschach. Fürsprech Widmer,30,0006.txt,"f. Bride, Hertenstein von Roschach, Fürsprech Widmer","f. Bride (https://de.wikipedia.org/wiki/FB_Riders_DBR https://de.wikipedia.org/wiki/Fridericianum_(Kassel) https://de.wikipedia.org/wiki/Fridericianum_Schwerin https://de.wikipedia.org/wiki/Friderike_Maria_Zweig https://de.wikipedia.org/wiki/Fridericus_Rex_(1921/22) https://de.wikipedia.org/wiki/Faride_Alidou https://de.wikipedia.org/wiki/Friderico-Francisceum https://de.wikipedia.org/wiki/Farid_Esack https://de.wikipedia.org/wiki/Fariduddin_Attar https://de.wikipedia.org/wiki/Farid_el_Atrache), Hertenstein  (https://de.wikipedia.org/wiki/Hertenstein https://de.wikipedia.org/wiki/Hertenstein_LU https://de.wikipedia.org/wiki/Hertensteiner_Programm https://de.wikipedia.org/wiki/Hertensteiner_Gespr%C3%A4che https://de.wikipedia.org/wiki/Hertensteiner_Kreuz https://de.wikipedia.org/wiki/Hertenstein_AG https://de.wikipedia.org/wiki/Herrenstein_(Gerswalde) https://de.wikipedia.org/wiki/Hartenstein_(Mittelfranken) https://de.wikipedia.org/wiki/Hartenstein_(Sachsen) https://de.wikipedia.org/wiki/Hartensteiner_Wald)"
31,31 Julii 1780,1780-07-31,STORCHEN,2,von Sarnenstorff f. 3. 6 Handw. 2 Landl.,31,0006.txt,von Sarnenstorff,
32,31 Julii 1780,1780-07-31,ADLER,3,Jgfr. Schweizerin von St. Gallen. Bernold Marsch D'auvergne f. 4. Mr. Aubertin de Luneville. 3 Handw.,32,0006.txt,"Jgfr. Schweizerin von St, Gallen. Bernold Marsch D'auvergne, Mr. Aubertin de Luneville",
33,31 Julii 1780,1780-07-31,HIRSCHEN,4,Hr. Knufs von Winterthur. Leonhard Fornaro von Längensee.,33,0006.txt,"Hr. Knufs von Winterthur, Leonhard Fornaro von Längensee",. Knufs  (https://de.wikipedia.org/wiki/Knutsford https://de.wikipedia.org/wiki/Knudsen_(Familienname) https://de.wikipedia.org/wiki/Kufstein https://de.wikipedia.org/wiki/Knut_Schnurer https://de.wikipedia.org/wiki/Knusperm%C3%BCsli https://de.wikipedia.org/wiki/Knut_Schmidt-Nielsen https://de.wikipedia.org/wiki/Knut_Schulz https://de.wikipedia.org/wiki/Knudsgilde_(Flensburg) https://de.wikipedia.org/wiki/Knudsen-Nase https://de.wikipedia.org/wiki/Die_Knuffies)
34,31 Julii 1780,1780-07-31,RAABEN,5,Hr. Xaveri Kopp von Münster. Rudolph Isler von Teussen- Zellwegner ab Gais. Emanuel Dionil Berber de Fort Louis f. 2. Adam Diethelm von Weinfelden f. 4. Johannes Biler von Immenstadt- LEUEN- Hr. Weissenbach aus Tyrol- 2 Handwerker- ROESSLI- Franz Kurtz aus Landegg-,34,0006.txt,UNABLE TO PARSE,
35,1 Augusti 1780,1780-08-01,SCHWERDT,1,Mr. Carlis de Modena. le Grand de Belfort. Hr. Blumer von Glarus. de Vermenoux,35,0008.txt,"Mr. Carlis de Modena, le Grand de Belfort, Hr. Blumer von Glarus, de Vermenoux",. Blumer  (https://de.wikipedia.org/wiki/Blumerode https://de.wikipedia.org/wiki/Blumer_(Familie) https://de.wikipedia.org/wiki/Blumergraben https://de.wikipedia.org/wiki/Blume_(Remscheid) https://de.wikipedia.org/wiki/Blumeray https://de.wikipedia.org/wiki/Blumer_Beck https://de.wikipedia.org/wiki/Blumer https://de.wikipedia.org/wiki/Blumerberg https://de.wikipedia.org/wiki/Blumer-Marcus https://de.wikipedia.org/wiki/Blumers)
36,1 Augusti 1780,1780-08-01,SCHWERDT,1,de Paris f. 3. Meissner von Görlitz in Sachsen f. 3. Schuch von Saarbrücken. Hugenin Aelter von Müllhausen. Mr. Maurice,36,0008.txt,"de Paris. Meissner von Görlitz in Sachsen, Schuch von Saarbrücken, Hugenin Aelter von Müllhausen, Mr. Maurice","Schuch  (https://de.wikipedia.org/wiki/Schuch https://de.wikipedia.org/wiki/Schuchow-Radioturm https://de.wikipedia.org/wiki/Schuchan https://de.wikipedia.org/wiki/Schuchw%C3%A4ldchen https://de.wikipedia.org/wiki/Schuch-Speicher https://de.wikipedia.org/wiki/Schuchtkogel https://de.wikipedia.org/wiki/Schuchmann%E2%80%99sche_Brauerei https://de.wikipedia.org/wiki/Schuchow-Wasserturm_Mykolajiw https://de.wikipedia.org/wiki/Schuchmann https://de.wikipedia.org/wiki/Schuchov), . Maurice (https://de.wikipedia.org/wiki/Maurice_Ravel https://de.wikipedia.org/wiki/Maurice_Maeterlinck https://de.wikipedia.org/wiki/Maurice_Merleau-Ponty https://de.wikipedia.org/wiki/Maurice_H%C3%B6fgen https://de.wikipedia.org/wiki/Maurice_Chappaz https://de.wikipedia.org/wiki/Maurice_B%C3%A9jart https://de.wikipedia.org/wiki/Maurice_Abravanel/Diskografie https://de.wikipedia.org/wiki/Maurice_Matieu https://de.wikipedia.org/wiki/Maurice_Gibb https://de.wikipedia.org/wiki/Maurice_(Film))"
37,1 Augusti 1780,1780-08-01,SCHWERDT,1,Mr. Rignon. Mr. Bock de Turin. Hr. Ryhener,37,0008.txt,"Mr. Rignon, Mr. Bock de Turin, Hr. Ryhener","Mr. Rignon (https://de.wikipedia.org/wiki/Morignone), . Rignon (https://de.wikipedia.org/wiki/Rignon https://de.wikipedia.org/wiki/Rignano_sull%E2%80%99Arno https://de.wikipedia.org/wiki/Rignovelle https://de.wikipedia.org/wiki/Rignano_Flaminio https://de.wikipedia.org/wiki/Rignosot https://de.wikipedia.org/wiki/Rignano_Garganico https://de.wikipedia.org/wiki/Rignot-Gletscher https://de.wikipedia.org/wiki/Rinon_Okuwaki https://de.wikipedia.org/wiki/Rognonas https://de.wikipedia.org/wiki/Rignano-Steuer), . Ryhener (https://de.wikipedia.org/wiki/Rhener_Freitas https://de.wikipedia.org/wiki/Ryhiner)"
38,1 Augusti 1780,1780-08-01,SCHWERDT,1,Hr le Grand und Frauen von Basel. Schindler von Basel. Sigfried von Zoßngen.,38,0008.txt,UNABLE TO PARSE,
39,1 Augusti 1780,1780-08-01,STORCHEN,2,Mr. Predarii de Milan,39,0008.txt,Mr. Predarii de Milan,
40,1 Augusti 1780,1780-08-01,STORCHEN,2,f. 2. Johannes Tüdj von Altstatten. Samuel Hunziker von Chaam,40,0008.txt,"f. Johannes Tüdj von Altstatten, Samuel Hunziker von Chaam",
41,1 Augusti 1780,1780-08-01,STORCHEN,2,4 Handw.,41,0008.txt,,
42,1 Augusti 1780,1780-08-01,ADLER,3,Jgfr. Schweizerin von St. Gallen. Berthold Marsch D'auvergne f. 4. Francois Monde de Nancy. Fr. Posterin von Schaffhausen,42,0008.txt,"Jgfr. Schweizerin von St, Gallen. Berthold Marsch D'auvergne, Francois Monde de Nancy, Fr. Posterin von Schaffhausen",. Posterin  (https://de.wikipedia.org/wiki/Posterino https://de.wikipedia.org/wiki/POS-Terminal https://de.wikipedia.org/wiki/Posteriores_reversibles_Enzephalopathie-Syndrom https://de.wikipedia.org/wiki/Posterisation https://de.wikipedia.org/wiki/Posterior-Fossa-Syndrom https://de.wikipedia.org/wiki/Posteriore_amorphe_Hornhautdystrophie https://de.wikipedia.org/wiki/Posterior_predictive_distribution https://de.wikipedia.org/wiki/Posterior https://de.wikipedia.org/wiki/Posterisan https://de.wikipedia.org/wiki/Port_Erin)
43,1 Augusti 1780,1780-08-01,ADLER,3,"2 Jungfauer,",43,0008.txt,,
44,1 Augusti 1780,1780-08-01,HIRSCHEN,4,Hr. Leonhard Fornaro von Langenſee. 2 Handwerker-,44,0008.txt,UNABLE TO PARSE,
45,1 Augusti 1780,1780-08-01,RAABEN,5,Hr. Rudolph Biser von Teussen- Zellweguer ab Gaiss. Caspar Mengli von Schaffhausen,45,0008.txt,UNABLE TO PARSE,
46,1 Augusti 1780,1780-08-01,RAABEN,5,Bösch von Ebmat f. 2,46,0008.txt,Bösch von Ebmat,Bösch  (https://de.wikipedia.org/wiki/B%C3%B6sch https://de.wikipedia.org/wiki/B%C3%B6schung https://de.wikipedia.org/wiki/B%C3%B6schungswinkel https://de.wikipedia.org/wiki/B%C3%B6schi https://de.wikipedia.org/wiki/B%C3%B6schleinsm%C3%BChle https://de.wikipedia.org/wiki/B%C3%B6schungsfl%C3%A4che https://de.wikipedia.org/wiki/B%C3%B6schungsbruch https://de.wikipedia.org/wiki/B%C3%B6schungsbrand https://de.wikipedia.org/wiki/B%C3%B6schweiler https://de.wikipedia.org/wiki/B%C3%B6schung_am_Ludwig-Donau-Main-Kanal_%C3%B6stlich_von_D%C3%B6rlbach)
47,1 Augusti 1780,1780-08-01,RAABEN,5,"3 Pilger,",47,0008.txt,,
48,1 Augusti 1780,1780-08-01,LEUEN,8,"Ein Piemontesischer Soldat,",48,0008.txt,,
49,1 Augusti 1780,1780-08-01,ROESSLI,7,Franz Kurtz aus Landegg.,49,0008.txt,Franz Kurtz aus Landegg,
50,2 Augusti 1780,1780-08-02,SCHWERDT,1,Mr. Carlis de Modena. le Grand de Beliort. Hr. Blumer von Glarus. de Vermenoux,50,0010.txt,"Mr. Carlis de Modena, le Grand de Beliort, Hr. Blumer von Glarus, de Vermenoux",. Blumer  (https://de.wikipedia.org/wiki/Blumerode https://de.wikipedia.org/wiki/Blumer_(Familie) https://de.wikipedia.org/wiki/Blumergraben https://de.wikipedia.org/wiki/Blume_(Remscheid) https://de.wikipedia.org/wiki/Blumeray https://de.wikipedia.org/wiki/Blumer_Beck https://de.wikipedia.org/wiki/Blumer https://de.wikipedia.org/wiki/Blumerberg https://de.wikipedia.org/wiki/Blumer-Marcus https://de.wikipedia.org/wiki/Blumers)
51,2 Augusti 1780,1780-08-02,SCHWERDT,1,de Paris f. 3. Meisner von Görlitz in Sachsen f. 3. Hugenin Aelter von Müllhausen. Richelmi. Mr. Bock de Turin. Ryhener,51,0010.txt,"de Paris. Meisner von Görlitz in Sachsen, Hugenin Aelter von Müllhausen, Richelmi, Mr. Bock de Turin, Ryhener","Richelmi (https://de.wikipedia.org/wiki/Richelmi https://de.wikipedia.org/wiki/Richelia https://de.wikipedia.org/wiki/Richelieu-Klasse https://de.wikipedia.org/wiki/Richelieu_(Indre-et-Loire) https://de.wikipedia.org/wiki/Richelieu_(Schiff,_1943) https://de.wikipedia.org/wiki/Richelieu_(Fernsehserie) https://de.wikipedia.org/wiki/Richelieu_(Film) https://de.wikipedia.org/wiki/Richelieu_T-85 https://de.wikipedia.org/wiki/Richeling https://de.wikipedia.org/wiki/Richelieu_Motor_Car_Corporation), Ryhener (https://de.wikipedia.org/wiki/Rhener_Freitas https://de.wikipedia.org/wiki/Ryhiner)"
52,2 Augusti 1780,1780-08-02,SCHWERDT,1,Hr le Grand und Frauen von Basel. Hertlinger von Winterthur. 1 Landmann.,52,0010.txt,UNABLE TO PARSE,
53,2 Augusti 1780,1780-08-02,STORCHEN,2,Mr. Barade d'Auvergne f. 4. Benedict Ochsner von Einsidlen. Ein Burgunder Glashändler f. 2. 2 Landl. 4 Handwerker.,53,0010.txt,UNABLE TO PARSE,
54,2 Augusti 1780,1780-08-02,ADLER,3,Fr. Fosterin von Schaffhausen. Jgfr. Schweizerin von St. Gallen. François Monde de Nancy. Ein Zurzacher Fuhrmann.,54,0010.txt,"Fr. Fosterin von Schaffhausen, Jgfr. Schweizerin von St, Gallen. François Monde de Nancy",. Fosterin  (https://de.wikipedia.org/wiki/Foster-Insel https://de.wikipedia.org/wiki/Folterinstrument https://de.wikipedia.org/wiki/Foster_and_Lloyd https://de.wikipedia.org/wiki/Foster_Engineering_Company https://de.wikipedia.org/wiki/Foster-Nunatak https://de.wikipedia.org/wiki/Foster_Islands https://de.wikipedia.org/wiki/Foster_and_Partners https://de.wikipedia.org/wiki/Foster_(Einheit) https://de.wikipedia.org/wiki/Foster_Island)
55,2 Augusti 1780,1780-08-02,HIRSCHEN,4,Hr. Leonhard Fornaro von Langenfee. 1 Pilger.,55,0010.txt,Hr. Leonhard Fornaro von Langenfee,
56,2 Augusti 1780,1780-08-02,RAABEN,5,Hr. Grob von Wattweil. Hartmann von Schefftenau f. 2. Chom & Comp von Glarus f. 9. LEUEN- 1 Landmann. ROESSL- Hr. Unterv. Müller von Schmerfkon. Georg Witt von Gebistorf. Ein Zurzacher Fuhrmann. 2 Pilger.,56,0010.txt,UNABLE TO PARSE,
57,2 Augusti 1780,1780-08-02,SCHWANEN,6,Ein Gerwer von Immenstadt.,57,0010.txt,,
58,3 Augufti 1780,1780-01-03,SCHWERDT,1,Hr. Ehren-Gefandter Pfifter von Schaffhaufen. Mr. Carlis de Mod-ma. le Grand de Belfort. Hr. Blumer von Glarus. Meifner von Görlitz in Sachfen f. 3. Hugenin Aelter von Müllhaufen. Richelmi. Mr. Bock de Turin. Hertlinger von Winterthur. Hartmann von Lenzburg. Bieler von Memmingen. STÖRCHEN. Mr. Barade d'Auvergne f. 4. Ein Burgunder Glashändler f. 2. Jof. Eggefchweiler von Wangen f. 2,58,0012.txt,UNABLE TO PARSE,
59,3 Augufti 1780,1780-01-03,SCHWERDT,1,8 Schwaben.,59,0012.txt,,
60,3 Augufti 1780,1780-01-03,ADLER,3,Fr. Fofferin von Schaffhaufen,60,0012.txt,Fr. Fofferin von Schaffhaufen,
