Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Raw Line,Visitor,Links,Filename
11,28 Julii 1780,1780-07-28,SCHWERDT,1,Anselme de Lyon.,Anselme de Lyon,Anselme (https://de.wikipedia.org/wiki/Anselme https://de.wikipedia.org/wiki/Anselme_Bellegarrigue https://de.wikipedia.org/wiki/Anselme_Dimier https://de.wikipedia.org/wiki/Anselme_Ga%C3%ABtan_Desmarest https://de.wikipedia.org/wiki/Anselme_Mathieu https://de.wikipedia.org/wiki/Anselme_Polycarpe_Batbie https://de.wikipedia.org/wiki/Anselme_Payen https://de.wikipedia.org/wiki/Anselme_Marchal https://de.wikipedia.org/wiki/Anselme_Isambert https://de.wikipedia.org/wiki/Anselme_Titianma_Sanon),../../ideas/ocr_mit_claude/0002.txt
12,28 Julii 1780,1780-07-28,STORCHEN,2,"Mr. Predarii de Milan, f. 2.","Mr. Predarii de Milan,",Predarii (https://de.wikipedia.org/wiki/Predari),../../ideas/ocr_mit_claude/0002.txt
13,28 Julii 1780,1780-07-28,STORCHEN,2,Hr. Kühnhold von Nürnberg.,Hr. Kühnhold von Nürnberg,Kühnhold (https://de.wikipedia.org/wiki/K%C3%BChnhold https://de.wikipedia.org/wiki/Kuhn_Holding https://de.wikipedia.org/wiki/K%C3%BChnholz),../../ideas/ocr_mit_claude/0002.txt
14,28 Julii 1780,1780-07-28,STORCHEN,2,Ein Glashändler aus dem Schwarzwald.,,,../../ideas/ocr_mit_claude/0002.txt
15,28 Julii 1780,1780-07-28,STORCHEN,2,1 Handw.,,,../../ideas/ocr_mit_claude/0002.txt
16,28 Julii 1780,1780-07-28,ADLER,3,Jgfr. Schweizerin von St. Gallen.,Jgfr. Schweizerin von Sankt Gallen,,../../ideas/ocr_mit_claude/0002.txt
17,28 Julii 1780,1780-07-28,ADLER,3,Bernold Marsch D'auvergne f. 2.,Bernold Marsch D'auvergne,,../../ideas/ocr_mit_claude/0002.txt
18,28 Julii 1780,1780-07-28,ADLER,3,Fr. Posterin von Schaffhausen.,Fr. Posterin von Schaffhausen,Posterin (https://de.wikipedia.org/wiki/Posterino https://de.wikipedia.org/wiki/Posteriores_reversibles_Enzephalopathie-Syndrom https://de.wikipedia.org/wiki/Posterisation https://de.wikipedia.org/wiki/Posterior-Fossa-Syndrom https://de.wikipedia.org/wiki/Posteriore_amorphe_Hornhautdystrophie https://de.wikipedia.org/wiki/Posterior_predictive_distribution https://de.wikipedia.org/wiki/Posterior https://de.wikipedia.org/wiki/Posterisan https://de.wikipedia.org/wiki/Postprint https://de.wikipedia.org/wiki/Posteingangsstempel),../../ideas/ocr_mit_claude/0002.txt
19,28 Julii 1780,1780-07-28,ROTHHAUS,4,Hr. Brix aus Böhmen.,Hr. Brix aus Böhmen,Brix (https://de.wikipedia.org/wiki/Brix https://de.wikipedia.org/wiki/Brixen https://de.wikipedia.org/wiki/Brixen_im_Thale https://de.wikipedia.org/wiki/Brixner_Dom https://de.wikipedia.org/wiki/Brixlegg https://de.wikipedia.org/wiki/Brixton_Motorcycles https://de.wikipedia.org/wiki/Brixner_Domkreuzgang https://de.wikipedia.org/wiki/Brix_Schaumburg https://de.wikipedia.org/wiki/Brixentaler_Bauerntarock https://de.wikipedia.org/wiki/Brixental),../../ideas/ocr_mit_claude/0002.txt
20,28 Julii 1780,1780-07-28,ROTHHAUS,4,"Mr. Pizzala de Milan, f. 2.","Mr. Pizzala de Milan,",Pizzala (https://de.wikipedia.org/wiki/Pizzala https://de.wikipedia.org/wiki/Pizzakarton https://de.wikipedia.org/wiki/Pizzagate https://de.wikipedia.org/wiki/Pizza-Bande https://de.wikipedia.org/wiki/Pizzale https://de.wikipedia.org/wiki/Pizzasalami https://de.wikipedia.org/wiki/Pizzapackung https://de.wikipedia.org/wiki/Pizza_Hawaii https://de.wikipedia.org/wiki/Pizza_capricciosa https://de.wikipedia.org/wiki/Pizza_Mann_%26_Schnitzelhaus),../../ideas/ocr_mit_claude/0002.txt
21,28 Julii 1780,1780-07-28,ROTHHAUS,4,Mad. Marianne Blasius de Rastadt f. 2.,Mad. Marianne Blasius de Rastadt,,../../ideas/ocr_mit_claude/0002.txt
22,28 Julii 1780,1780-07-28,ROTHHAUS,4,2 Lándleuth.,,,../../ideas/ocr_mit_claude/0002.txt
23,28 Julii 1780,1780-07-28,HIRSCHEN,5,Hr. Martin Erhardt von Mühlhausen.,Hr. Martin Erhardt von Mühlhausen,Martin Erhardt (https://de.wikipedia.org/wiki/Martin_Erhard_(Eishockeyschiedsrichter) https://de.wikipedia.org/wiki/Martin_Gerhardt https://de.wikipedia.org/wiki/Martin_Erhard_(Gewerkschafter) https://de.wikipedia.org/wiki/Martin_Erhard_(Kirchenmusiker) https://de.wikipedia.org/wiki/Martin_Erhard),../../ideas/ocr_mit_claude/0002.txt
24,28 Julii 1780,1780-07-28,HIRSCHEN,5,Leonhard Fornaro von Langensee.,Leonhard Fornaro von Langensee,,../../ideas/ocr_mit_claude/0002.txt
25,28 Julii 1780,1780-07-28,HIRSCHEN,5,Ein Bedienter von Hrn. Baron v. Uskiel von Stuttgardt.,Baron von Uskiel von Stuttgardt,Baron (https://de.wikipedia.org/wiki/Baron https://de.wikipedia.org/wiki/Baron_Corbin https://de.wikipedia.org/wiki/Baronet https://de.wikipedia.org/wiki/Baron_Noir https://de.wikipedia.org/wiki/Baron_1898 https://de.wikipedia.org/wiki/Baron_Gautsch https://de.wikipedia.org/wiki/Baroness https://de.wikipedia.org/wiki/Baron_(Familienname) https://de.wikipedia.org/wiki/Baron_Gottfried_Schmiedel https://de.wikipedia.org/wiki/Baron_Hill),../../ideas/ocr_mit_claude/0002.txt
26,28 Julii 1780,1780-07-28,RAABEN,6,Jgfr. Elisabetha Rieggi von Eichenbach f. 2.,Jgfr. Elisabetha Rieggi von Eichenbach,,../../ideas/ocr_mit_claude/0002.txt
27,28 Julii 1780,1780-07-28,RAABEN,6,Anna Maria Kleinlin von Welen f. 2.,Anna Maria Kleinlin von Welen,,../../ideas/ocr_mit_claude/0002.txt
28,28 Julii 1780,1780-07-28,RAABEN,6,Salama Strikler von Glarus f. 2.,Salama Strikler von Glarus,,../../ideas/ocr_mit_claude/0002.txt
29,28 Julii 1780,1780-07-28,RAABEN,6,Marianne Meimnoud von Landau.,Marianne Meimnoud von Landau,,../../ideas/ocr_mit_claude/0002.txt
30,28 Julii 1780,1780-07-28,RAABEN,6,Hr. Carl Horret von Toggen-,Hr. Carl Horret von Toggen,,../../ideas/ocr_mit_claude/0002.txt
31,28 Julii 1780,1780-07-28,RAABEN,6,Arnold Holsteln von Neuburg-,Arnold Holsteln von Neuburg,Arnold Holsteln (https://de.wikipedia.org/wiki/Arnold_Holstein),../../ideas/ocr_mit_claude/0002.txt
32,28 Julii 1780,1780-07-28,LEUEN,7,1 Handwerker-,,,../../ideas/ocr_mit_claude/0002.txt
33,28 Julii 1780,1780-07-28,ROESSL,8,Hr. Schneeli von Glarus.,Hr. Schneeli von Glarus,Schneeli (https://de.wikipedia.org/wiki/Schneeli https://de.wikipedia.org/wiki/Schneelinie https://de.wikipedia.org/wiki/Schneeleopard https://de.wikipedia.org/wiki/Schneewittchen https://de.wikipedia.org/wiki/Schneelast https://de.wikipedia.org/wiki/Schneewittchen_und_die_sieben_Zwerge_(1937) https://de.wikipedia.org/wiki/Schnee_im_Fr%C3%BChling https://de.wikipedia.org/wiki/Schneewittchen_und_das_Geheimnis_der_Zwerge https://de.wikipedia.org/wiki/Schneewittchen_muss_sterben https://de.wikipedia.org/wiki/Schneewissenschaft),../../ideas/ocr_mit_claude/0002.txt
34,28 Julii 1780,1780-07-28,ROESSL,8,Franz Kurtz von Landeeg-,Franz Kurtz von Landeeg,"Franz Kurtz (https://de.wikipedia.org/wiki/Franz_Kurtz https://de.wikipedia.org/wiki/Franz_Kurzmeyer https://de.wikipedia.org/wiki/Franz_Kurz_(Politiker,_1920) https://de.wikipedia.org/wiki/Franz_Kurzreiter https://de.wikipedia.org/wiki/Frank_Kurtz https://de.wikipedia.org/wiki/Franz_Kartz https://de.wikipedia.org/wiki/Franz_Kurzeja https://de.wikipedia.org/wiki/Franz_Kurz https://de.wikipedia.org/wiki/Frank_Kurt_Zander)",../../ideas/ocr_mit_claude/0002.txt
35,28 Julii 1780,1780-07-28,ROESSL,8,2 St Galler Fuhrleuth-,,,../../ideas/ocr_mit_claude/0002.txt
36,30 Julii 1780,1780-07-30,SCHWERDT,1,Mr. Carlis de Modena.,Mr. Carlis de Modena,Carlis (https://de.wikipedia.org/wiki/Carlismus https://de.wikipedia.org/wiki/Carlisle https://de.wikipedia.org/wiki/Carlisle_Grounds https://de.wikipedia.org/wiki/Carlisle_(Pennsylvania) https://de.wikipedia.org/wiki/Carlisle_County https://de.wikipedia.org/wiki/Carlisle_(Iowa) https://de.wikipedia.org/wiki/Carlisle_(Ohio) https://de.wikipedia.org/wiki/Carlisle_(Massachusetts) https://de.wikipedia.org/wiki/Carlisle_Castle https://de.wikipedia.org/wiki/Carlisle_Floyd),../../ideas/ocr_mit_claude/0004.txt
37,30 Julii 1780,1780-07-30,SCHWERDT,1,le Grand de Belfort.,le Grand de Belfort,le Grand (https://de.wikipedia.org/wiki/Le_Grand https://de.wikipedia.org/wiki/Le_Grand-Bornand https://de.wikipedia.org/wiki/Le_Grand-Saconnex https://de.wikipedia.org/wiki/Le_Grand_Macabre https://de.wikipedia.org/wiki/Le_Grand_Chalon https://de.wikipedia.org/wiki/Le_Grand_(Iowa) https://de.wikipedia.org/wiki/Le_Grand_Rex https://de.wikipedia.org/wiki/Le_Grand_P%C3%A9rigueux https://de.wikipedia.org/wiki/Le_Grand_Chariot https://de.wikipedia.org/wiki/Le_Grand-Quevilly),../../ideas/ocr_mit_claude/0004.txt
38,30 Julii 1780,1780-07-30,SCHWERDT,1,Hr. Blumer von Glarus.,Hr. Blumer von Glarus,Blumer (https://de.wikipedia.org/wiki/Blumer https://de.wikipedia.org/wiki/Blumerode https://de.wikipedia.org/wiki/Blumer_(Familie) https://de.wikipedia.org/wiki/Blumergraben https://de.wikipedia.org/wiki/Blumeray https://de.wikipedia.org/wiki/Blumer_Beck https://de.wikipedia.org/wiki/Blumerberg https://de.wikipedia.org/wiki/Blumer-Marcus https://de.wikipedia.org/wiki/Blumers https://de.wikipedia.org/wiki/Blumert),../../ideas/ocr_mit_claude/0004.txt
39,30 Julii 1780,1780-07-30,SCHWERDT,1,Profesor Steinsky aus Prag.,Profesor Steinsky aus Prag,,../../ideas/ocr_mit_claude/0004.txt
40,30 Julii 1780,1780-07-30,SCHWERDT,1,"de Vermenoux, de Paris f. 3.","de Vermenoux, de Paris",,../../ideas/ocr_mit_claude/0004.txt
41,30 Julii 1780,1780-07-30,SCHWERDT,1,"Arnaud, de Turin.","Arnaud, de Turin","Arnaud, (https://de.wikipedia.org/wiki/Arnaud_Montebourg https://de.wikipedia.org/wiki/Arnaud_Cl%C3%A9ment https://de.wikipedia.org/wiki/Arnaud_Kalimuendo https://de.wikipedia.org/wiki/Arnaud_Beltrame https://de.wikipedia.org/wiki/Arnaud_Boetsch https://de.wikipedia.org/wiki/Arnaud_Rykner https://de.wikipedia.org/wiki/Arnaud_Lagard%C3%A8re https://de.wikipedia.org/wiki/Arnaud_Viard https://de.wikipedia.org/wiki/Arnaud_Valois https://de.wikipedia.org/wiki/Arnaud_De_Lie)",../../ideas/ocr_mit_claude/0004.txt
42,30 Julii 1780,1780-07-30,SCHWERDT,1,Meifsner von Görlitz in Sachfen f. 3.,Meifsner von Görlitz in Sachfen,Meifsner (https://de.wikipedia.org/wiki/Meissener_Porzellan https://de.wikipedia.org/wiki/Mei%C3%9Fner_Dom https://de.wikipedia.org/wiki/Mei%C3%9Fner_und_Mei%C3%9Fner_Vorland https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Gemeinde) https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Familienname) https://de.wikipedia.org/wiki/Mei%C3%9Fner_Fummel https://de.wikipedia.org/wiki/Mei%C3%9Fner_Schwein https://de.wikipedia.org/wiki/Mei%C3%9Fner-Ochsenfeld-Effekt https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Adelsgeschlechter) https://de.wikipedia.org/wiki/Mei%C3%9Fner_Stra%C3%9Fe),../../ideas/ocr_mit_claude/0004.txt
43,30 Julii 1780,1780-07-30,SCHWERDT,1,Geelwin von Amfterdam f. 4.,Geelwin von Amfterdam,Geelwin (https://de.wikipedia.org/wiki/Geelvink-Gro%C3%9Ffu%C3%9Fhuhn https://de.wikipedia.org/wiki/Geelvinck_(Amsterdamer_Regentengeschlecht) https://de.wikipedia.org/wiki/Geelvink-Bay-Sprachen https://de.wikipedia.org/wiki/Geelvinck-Hinlopen https://de.wikipedia.org/wiki/Geelvink_Bay https://de.wikipedia.org/wiki/Geely_International_Corporation https://de.wikipedia.org/wiki/Geelvinck),../../ideas/ocr_mit_claude/0004.txt
44,30 Julii 1780,1780-07-30,SCHWERDT,1,Rathsherr Faefch. Hr. Faefch.,"Rathsherr Faefch, Hr. Faefch",", Faefch (https://de.wikipedia.org/wiki/Faeschisches_Kabinett https://de.wikipedia.org/wiki/Faesch_(Familie) https://de.wikipedia.org/wiki/Faesch_%26_Piccard https://de.wikipedia.org/wiki/Faesch https://de.wikipedia.org/wiki/Faerch)",../../ideas/ocr_mit_claude/0004.txt
45,30 Julii 1780,1780-07-30,SCHWERDT,1,Obrift Eglinger.,Obrift Eglinger,,../../ideas/ocr_mit_claude/0004.txt
46,30 Julii 1780,1780-07-30,SCHWERDT,1,Pfr. Eglinger und Frau u. Sohn.,UNABLE TO PARSE,,../../ideas/ocr_mit_claude/0004.txt
47,30 Julii 1780,1780-07-30,SCHWERDT,1,"Pfr. Falkeifen, nebft Frau und Sohn.",UNABLE TO PARSE,,../../ideas/ocr_mit_claude/0004.txt
48,30 Julii 1780,1780-07-30,SCHWERDT,1,"Profefor Stähelin, Bürlich von Bafel.","Profefor Stähelin, Bürlich von Bafel",,../../ideas/ocr_mit_claude/0004.txt
49,30 Julii 1780,1780-07-30,SCHWERDT,1,Schuch von Saarbrücken.,Schuch von Saarbrücken,Schuch (https://de.wikipedia.org/wiki/Schuch https://de.wikipedia.org/wiki/Schuchow-Radioturm https://de.wikipedia.org/wiki/Schuchan https://de.wikipedia.org/wiki/Schuchw%C3%A4ldchen https://de.wikipedia.org/wiki/Schuch-Speicher https://de.wikipedia.org/wiki/Schuchtkogel https://de.wikipedia.org/wiki/Schuchmann%E2%80%99sche_Brauerei https://de.wikipedia.org/wiki/Schuchow-Wasserturm_Mykolajiw https://de.wikipedia.org/wiki/Schuchmann https://de.wikipedia.org/wiki/Schuchov),../../ideas/ocr_mit_claude/0004.txt
50,30 Julii 1780,1780-07-30,SCHWERDT,1,Ehrengesandte von Glarus.,Ehrengesandte von Glarus,,../../ideas/ocr_mit_claude/0004.txt
51,30 Julii 1780,1780-07-30,STORCHEN,2,"Mr. Predarii de Milan, f. 2.","Mr. Predarii de Milan,",Predarii (https://de.wikipedia.org/wiki/Predari),../../ideas/ocr_mit_claude/0004.txt
52,30 Julii 1780,1780-07-30,STORCHEN,2,Veit Schmid von Büblifon.,Veit Schmid von Büblifon,,../../ideas/ocr_mit_claude/0004.txt
53,30 Julii 1780,1780-07-30,STORCHEN,2,1 Handw.,,,../../ideas/ocr_mit_claude/0004.txt
54,30 Julii 1780,1780-07-30,ADLER,3,Jgfr. Schweizerin von St. Gallen.,Jgfr. Schweizerin von Sankt Gallen,,../../ideas/ocr_mit_claude/0004.txt
55,30 Julii 1780,1780-07-30,ADLER,3,Bernard Martich D'auvergne f. 2.,Bernard Martich D'auvergne,,../../ideas/ocr_mit_claude/0004.txt
56,30 Julii 1780,1780-07-30,ADLER,3,Mr. Auberin de Luneville.,Mr. Auberin de Luneville,Auberin (https://de.wikipedia.org/wiki/Aubergine https://de.wikipedia.org/wiki/Aubergine_(Restaurant) https://de.wikipedia.org/wiki/Auberive https://de.wikipedia.org/wiki/Auberives-en-Royans https://de.wikipedia.org/wiki/Aubertin https://de.wikipedia.org/wiki/Auberives-sur-Var%C3%A8ze https://de.wikipedia.org/wiki/Auberon_Waugh https://de.wikipedia.org/wiki/Auberginensalat https://de.wikipedia.org/wiki/Aubelin_Jolicoeur https://de.wikipedia.org/wiki/Aubetin),../../ideas/ocr_mit_claude/0004.txt
57,30 Julii 1780,1780-07-30,ROTHHAUS,4,Hr. Brix aus Böhmen.,Hr. Brix aus Böhmen,Brix (https://de.wikipedia.org/wiki/Brix https://de.wikipedia.org/wiki/Brixen https://de.wikipedia.org/wiki/Brixen_im_Thale https://de.wikipedia.org/wiki/Brixner_Dom https://de.wikipedia.org/wiki/Brixlegg https://de.wikipedia.org/wiki/Brixton_Motorcycles https://de.wikipedia.org/wiki/Brixner_Domkreuzgang https://de.wikipedia.org/wiki/Brix_Schaumburg https://de.wikipedia.org/wiki/Brixentaler_Bauerntarock https://de.wikipedia.org/wiki/Brixental),../../ideas/ocr_mit_claude/0004.txt
58,30 Julii 1780,1780-07-30,ROTHHAUS,4,"Mr. Pizzala de Milan, f. 2.","Mr. Pizzala de Milan,",Pizzala (https://de.wikipedia.org/wiki/Pizzala https://de.wikipedia.org/wiki/Pizzakarton https://de.wikipedia.org/wiki/Pizzagate https://de.wikipedia.org/wiki/Pizza-Bande https://de.wikipedia.org/wiki/Pizzale https://de.wikipedia.org/wiki/Pizzasalami https://de.wikipedia.org/wiki/Pizzapackung https://de.wikipedia.org/wiki/Pizza_Hawaii https://de.wikipedia.org/wiki/Pizza_capricciosa https://de.wikipedia.org/wiki/Pizza_Mann_%26_Schnitzelhaus),../../ideas/ocr_mit_claude/0004.txt
59,30 Julii 1780,1780-07-30,ROTHHAUS,4,4 Landleuth.,,,../../ideas/ocr_mit_claude/0004.txt
60,30 Julii 1780,1780-07-30,HIRSCHEN,5,Hr. Martin Erhardt von Mühlhaufen.,Hr. Martin Erhardt von Mühlhaufen,Martin Erhardt (https://de.wikipedia.org/wiki/Martin_Erhard_(Eishockeyschiedsrichter) https://de.wikipedia.org/wiki/Martin_Gerhardt https://de.wikipedia.org/wiki/Martin_Erhard_(Gewerkschafter) https://de.wikipedia.org/wiki/Martin_Erhard_(Kirchenmusiker) https://de.wikipedia.org/wiki/Martin_Erhard),../../ideas/ocr_mit_claude/0004.txt
61,30 Julii 1780,1780-07-30,HIRSCHEN,5,Leonhard Fornaro von Langenfee.,Leonhard Fornaro von Langenfee,,../../ideas/ocr_mit_claude/0004.txt
62,30 Julii 1780,1780-07-30,RAABEN,6,Hr. Major Tfchudy von Glarus.,Hr. Major Tschudy von Glarus,,../../ideas/ocr_mit_claude/0004.txt
63,30 Julii 1780,1780-07-30,RAABEN,6,2 Landl.,,,../../ideas/ocr_mit_claude/0004.txt
64,30 Julii 1780,1780-07-30,LEUEN,7,"2 Landl, 3 Handwerker.",,,../../ideas/ocr_mit_claude/0004.txt
65,31 Julii 1780,1780-07-31,SCHWERDT,1,Mr. Carlis de Modena.,Mr. Carlis de Modena,Carlis (https://de.wikipedia.org/wiki/Carlismus https://de.wikipedia.org/wiki/Carlisle https://de.wikipedia.org/wiki/Carlisle_Grounds https://de.wikipedia.org/wiki/Carlisle_(Pennsylvania) https://de.wikipedia.org/wiki/Carlisle_County https://de.wikipedia.org/wiki/Carlisle_(Iowa) https://de.wikipedia.org/wiki/Carlisle_(Ohio) https://de.wikipedia.org/wiki/Carlisle_(Massachusetts) https://de.wikipedia.org/wiki/Carlisle_Castle https://de.wikipedia.org/wiki/Carlisle_Floyd),../../ideas/ocr_mit_claude/0006.txt
66,31 Julii 1780,1780-07-31,SCHWERDT,1,le Grand de Belfort.,le Grand de Belfort,le Grand (https://de.wikipedia.org/wiki/Le_Grand https://de.wikipedia.org/wiki/Le_Grand-Bornand https://de.wikipedia.org/wiki/Le_Grand-Saconnex https://de.wikipedia.org/wiki/Le_Grand_Macabre https://de.wikipedia.org/wiki/Le_Grand_Chalon https://de.wikipedia.org/wiki/Le_Grand_(Iowa) https://de.wikipedia.org/wiki/Le_Grand_Rex https://de.wikipedia.org/wiki/Le_Grand_P%C3%A9rigueux https://de.wikipedia.org/wiki/Le_Grand_Chariot https://de.wikipedia.org/wiki/Le_Grand-Quevilly),../../ideas/ocr_mit_claude/0006.txt
67,31 Julii 1780,1780-07-31,SCHWERDT,1,Hr. Blumer von Glarus.,Hr. Blumer von Glarus,Blumer (https://de.wikipedia.org/wiki/Blumer https://de.wikipedia.org/wiki/Blumerode https://de.wikipedia.org/wiki/Blumer_(Familie) https://de.wikipedia.org/wiki/Blumergraben https://de.wikipedia.org/wiki/Blumeray https://de.wikipedia.org/wiki/Blumer_Beck https://de.wikipedia.org/wiki/Blumerberg https://de.wikipedia.org/wiki/Blumer-Marcus https://de.wikipedia.org/wiki/Blumers https://de.wikipedia.org/wiki/Blumert),../../ideas/ocr_mit_claude/0006.txt
68,31 Julii 1780,1780-07-31,SCHWERDT,1,Professor Steinsky aus Prag.,Professor Steinsky aus Prag,,../../ideas/ocr_mit_claude/0006.txt
69,31 Julii 1780,1780-07-31,SCHWERDT,1,"de Vermenoux, de Paris f. 3.","de Vermenoux, de Paris",,../../ideas/ocr_mit_claude/0006.txt
70,31 Julii 1780,1780-07-31,SCHWERDT,1,Meissner von Görlitz in Sachsen f. 3.,Meissner von Görlitz in Sachsen,Meissner (https://de.wikipedia.org/wiki/Meissner https://de.wikipedia.org/wiki/Meissener_Porzellan https://de.wikipedia.org/wiki/Mei%C3%9Fner_Dom https://de.wikipedia.org/wiki/Mei%C3%9Fner_und_Mei%C3%9Fner_Vorland https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Gemeinde) https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Familienname) https://de.wikipedia.org/wiki/Mei%C3%9Fner_Fummel https://de.wikipedia.org/wiki/Mei%C3%9Fner_Schwein https://de.wikipedia.org/wiki/Mei%C3%9Fner-Ochsenfeld-Effekt https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Adelsgeschlechter)),../../ideas/ocr_mit_claude/0006.txt
71,31 Julii 1780,1780-07-31,SCHWERDT,1,Pr. Eglinger und Frau aus Sohm.,UNABLE TO PARSE,,../../ideas/ocr_mit_claude/0006.txt
72,31 Julii 1780,1780-07-31,SCHWERDT,1,"Pfr. Falkeisen, nebst Frau und Sohn, beide von Basel.",UNABLE TO PARSE,,../../ideas/ocr_mit_claude/0006.txt
73,31 Julii 1780,1780-07-31,SCHWERDT,1,Schuch von Saarbrücken.,Schuch von Saarbrücken,Schuch (https://de.wikipedia.org/wiki/Schuch https://de.wikipedia.org/wiki/Schuchow-Radioturm https://de.wikipedia.org/wiki/Schuchan https://de.wikipedia.org/wiki/Schuchw%C3%A4ldchen https://de.wikipedia.org/wiki/Schuch-Speicher https://de.wikipedia.org/wiki/Schuchtkogel https://de.wikipedia.org/wiki/Schuchmann%E2%80%99sche_Brauerei https://de.wikipedia.org/wiki/Schuchow-Wasserturm_Mykolajiw https://de.wikipedia.org/wiki/Schuchmann https://de.wikipedia.org/wiki/Schuchov),../../ideas/ocr_mit_claude/0006.txt
74,31 Julii 1780,1780-07-31,SCHWERDT,1,Hugenin Vatter von Müllhausen.,Hugenin Vatter von Müllhausen,,../../ideas/ocr_mit_claude/0006.txt
