Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Visitor,Guest_ID,Filename
41,30 Julii 1780,1780-07-30,SCHWERDT,1,"de Vermenoux, de Paris f. 3.",41,0004.txt
42,30 Julii 1780,1780-07-30,SCHWERDT,1,"Arnaud, de Turin.",42,0004.txt
43,30 Julii 1780,1780-07-30,SCHWERDT,1,Meifsner von Görlitz in Sachfen f. 3.,43,0004.txt
44,30 Julii 1780,1780-07-30,SCHWERDT,1,Geelwin von Amfterdam f. 4.,44,0004.txt
45,30 Julii 1780,1780-07-30,SCHWERDT,1,Rathsherr Faefch. Hr. Faefch.,45,0004.txt
46,30 Julii 1780,1780-07-30,SCHWERDT,1,Obrift Eglinger.,46,0004.txt
47,30 Julii 1780,1780-07-30,SCHWERDT,1,Pfr. Eglinger und Frau u. Sohn.,47,0004.txt
48,30 Julii 1780,1780-07-30,SCHWERDT,1,"Pfr. Falkeifen, nebft Frau und Sohn.",48,0004.txt
49,30 Julii 1780,1780-07-30,SCHWERDT,1,"Profefor Stähelin, Bürlich von Bafel.",49,0004.txt
50,30 Julii 1780,1780-07-30,SCHWERDT,1,Schuch von Saarbrücken.,50,0004.txt
51,30 Julii 1780,1780-07-30,SCHWERDT,1,Ehrengesandte von Glarus.,51,0004.txt
52,30 Julii 1780,1780-07-30,STORCHEN,2,"Mr. Predarii de Milan, f. 2.",52,0004.txt
53,30 Julii 1780,1780-07-30,STORCHEN,2,Veit Schmid von Büblifon.,53,0004.txt
54,30 Julii 1780,1780-07-30,STORCHEN,2,1 Handw.,54,0004.txt
55,30 Julii 1780,1780-07-30,ADLER,3,Jgfr. Schweizerin von St. Gallen.,55,0004.txt
56,30 Julii 1780,1780-07-30,ADLER,3,Bernard Martich D'auvergne f. 2.,56,0004.txt
57,30 Julii 1780,1780-07-30,ADLER,3,Mr. Auberin de Luneville.,57,0004.txt
58,30 Julii 1780,1780-07-30,ROTHHAUS,4,Hr. Brix aus Böhmen.,58,0004.txt
59,30 Julii 1780,1780-07-30,ROTHHAUS,4,"Mr. Pizzala de Milan, f. 2.",59,0004.txt
60,30 Julii 1780,1780-07-30,ROTHHAUS,4,4 Landleuth.,60,0004.txt
61,30 Julii 1780,1780-07-30,HIRSCHEN,5,Hr. Martin Erhardt von Mühlhaufen.,61,0004.txt
62,30 Julii 1780,1780-07-30,HIRSCHEN,5,Leonhard Fornaro von Langenfee.,62,0004.txt
63,30 Julii 1780,1780-07-30,RAABEN,6,Hr. Major Tfchudy von Glarus.,63,0004.txt
64,30 Julii 1780,1780-07-30,RAABEN,6,2 Landl.,64,0004.txt
65,30 Julii 1780,1780-07-30,LEUEN,7,"2 Landl, 3 Handwerker.",65,0004.txt
66,30 Julii 1780,1780-07-30,ROESSLI,8,6 Landleut.,66,0004.txt
67,31 Julii 1780,1780-07-31,SCHWERDT,1,Mr. Carlis de Modena.,67,0006.txt
68,31 Julii 1780,1780-07-31,SCHWERDT,1,le Grand de Belfort.,68,0006.txt
69,31 Julii 1780,1780-07-31,SCHWERDT,1,Hr. Blumer von Glarus.,69,0006.txt
70,31 Julii 1780,1780-07-31,SCHWERDT,1,Professor Steinsky aus Prag.,70,0006.txt
71,31 Julii 1780,1780-07-31,SCHWERDT,1,"de Vermenoux, de Paris f. 3.",71,0006.txt
72,31 Julii 1780,1780-07-31,SCHWERDT,1,Meissner von Görlitz in Sachsen f. 3.,72,0006.txt
73,31 Julii 1780,1780-07-31,SCHWERDT,1,Pr. Eglinger und Frau aus Sohm.,73,0006.txt
74,31 Julii 1780,1780-07-31,SCHWERDT,1,"Pfr. Falkeisen, nebst Frau und Sohn, beide von Basel.",74,0006.txt
75,31 Julii 1780,1780-07-31,SCHWERDT,1,Schuch von Saarbrücken.,75,0006.txt
76,31 Julii 1780,1780-07-31,SCHWERDT,1,Hugenin Vatter von Müllhausen.,76,0006.txt
77,31 Julii 1780,1780-07-31,SCHWERDT,1,Fourrier de Besanson.,77,0006.txt
78,31 Julii 1780,1780-07-31,SCHWERDT,1,Mad. Boursiere de Paris.,78,0006.txt
79,31 Julii 1780,1780-07-31,SCHWERDT,1,"Mr. Maurice, Mr. Rignon. Mr. Bock de Turin.",79,0006.txt
80,31 Julii 1780,1780-07-31,SCHWERDT,1,Hr. Archivarius Schickardt von Stuttgardt.,80,0006.txt
81,31 Julii 1780,1780-07-31,SCHWERDT,1,"Pater Mayr. Pater Teth, Augustiner Ord. von Constanz.",81,0006.txt
82,31 Julii 1780,1780-07-31,STORCHEN,2,"Mr. Predarii de Milan, f. 2.",82,0006.txt
83,31 Julii 1780,1780-07-31,STORCHEN,2,Bride. Hertenstein von Roschach.,83,0006.txt
84,31 Julii 1780,1780-07-31,STORCHEN,2,"Fürsprech Widmer, von Sarnenstorff f. 3.",84,0006.txt
85,31 Julii 1780,1780-07-31,STORCHEN,2,6 Handw. 2 Landl.,85,0006.txt
86,31 Julii 1780,1780-07-31,ADLER,3,Jgfr. Schweizerin von St. Gallen.,86,0006.txt
87,31 Julii 1780,1780-07-31,ADLER,3,Bernold Marsch D'auvergne f. 4.,87,0006.txt
88,31 Julii 1780,1780-07-31,ADLER,3,Mr. Aubertin de Luneville.,88,0006.txt
89,31 Julii 1780,1780-07-31,ADLER,3,3 Handw.,89,0006.txt
90,31 Julii 1780,1780-07-31,ROTHHAUS,4,"Mr. Pitzala de Milan, f. 5.",90,0006.txt
91,31 Julii 1780,1780-07-31,ROTHHAUS,4,Hr. Brix aus Böhmen.,91,0006.txt
92,31 Julii 1780,1780-07-31,ROTHHAUS,4,Probst de Bielf f. 2. Mad. Blasius de Rastatt.,92,0006.txt
93,31 Julii 1780,1780-07-31,HIRSCHEN,5,Hr. Knufs von Winterthur.,93,0006.txt
94,31 Julii 1780,1780-07-31,HIRSCHEN,5,Leonhard Fornaro von Längensee.,94,0006.txt
95,31 Julii 1780,1780-07-31,RAABEN,6,Hr. Xaveri Kopp von Münster.,95,0006.txt
96,31 Julii 1780,1780-07-31,RAABEN,6,Rudolph Isler von Teussen- Zellwegner ab Gais.,96,0006.txt
97,31 Julii 1780,1780-07-31,RAABEN,6,Emanuel Dionil Berber de Fort Louis f. 2.,97,0006.txt
98,31 Julii 1780,1780-07-31,RAABEN,6,Adam Diethelm von Weinfelden f. 4.,98,0006.txt
99,31 Julii 1780,1780-07-31,RAABEN,6,Johannes Biler von Immenstadt-,99,0006.txt
100,31 Julii 1780,1780-07-31,LEUEN,7,Hr. Weissenbach aus Tyrol-,100,0006.txt
101,31 Julii 1780,1780-07-31,LEUEN,7,2 Handwerker-,101,0006.txt
102,31 Julii 1780,1780-07-31,ROESSLI,8,Franz Kurtz aus Landegg-,102,0006.txt
103,1 Augusti 1780,1780-08-01,SCHWERDT,1,Mr. Carlis de Modena.,103,0008.txt
104,1 Augusti 1780,1780-08-01,SCHWERDT,1,le Grand de Belfort.,104,0008.txt
105,1 Augusti 1780,1780-08-01,SCHWERDT,1,Hr. Blumer von Glarus.,105,0008.txt
106,1 Augusti 1780,1780-08-01,SCHWERDT,1,"de Vermenoux, de Paris f. 3.",106,0008.txt
107,1 Augusti 1780,1780-08-01,SCHWERDT,1,Meissner von Görlitz in Sachsen f. 3.,107,0008.txt
108,1 Augusti 1780,1780-08-01,SCHWERDT,1,Schuch von Saarbrücken.,108,0008.txt
109,1 Augusti 1780,1780-08-01,SCHWERDT,1,Hugenin Aelter von Müllhausen.,109,0008.txt
110,1 Augusti 1780,1780-08-01,SCHWERDT,1,"Mr. Maurice, Mr. Rignon. Mr. Bock de Turin.",110,0008.txt
111,1 Augusti 1780,1780-08-01,SCHWERDT,1,"Hr. Ryhener, Hr le Grand und Frauen von Basel.",111,0008.txt
112,1 Augusti 1780,1780-08-01,SCHWERDT,1,Schindler von Basel.,112,0008.txt
113,1 Augusti 1780,1780-08-01,SCHWERDT,1,Sigfried von Zoßngen.,113,0008.txt
114,1 Augusti 1780,1780-08-01,STORCHEN,2,"Mr. Predarii de Milan, f. 2.",114,0008.txt
115,1 Augusti 1780,1780-08-01,STORCHEN,2,Johannes Tüdj von Altstatten.,115,0008.txt
116,1 Augusti 1780,1780-08-01,STORCHEN,2,"Samuel Hunziker von Chaam,",116,0008.txt
117,1 Augusti 1780,1780-08-01,STORCHEN,2,4 Handw.,117,0008.txt
118,1 Augusti 1780,1780-08-01,ADLER,3,Jgfr. Schweizerin von St. Gallen.,118,0008.txt
119,1 Augusti 1780,1780-08-01,ADLER,3,Berthold Marsch D'auvergne f. 4.,119,0008.txt
120,1 Augusti 1780,1780-08-01,ADLER,3,Francois Monde de Nancy.,120,0008.txt
121,1 Augusti 1780,1780-08-01,ADLER,3,"Fr. Posterin von Schaffhausen,",121,0008.txt
122,1 Augusti 1780,1780-08-01,ADLER,3,"2 Jungfauer,",122,0008.txt
123,1 Augusti 1780,1780-08-01,ROTHHAUS,4,"Mr. Pitzala de Milan, f. 5.",123,0008.txt
124,1 Augusti 1780,1780-08-01,ROTHHAUS,4,Hr. Brix aus Böhmen.,124,0008.txt
125,1 Augusti 1780,1780-08-01,ROTHHAUS,4,Probst de Biel f. 2. Mad. Blaſius de Rastatt.,125,0008.txt
126,1 Augusti 1780,1780-08-01,ROTHHAUS,4,"Hr. Gidinger von Bischoffzell,",126,0008.txt
127,1 Augusti 1780,1780-08-01,HIRSCHEN,5,Hr. Leonhard Fornaro von Langenſee.,127,0008.txt
128,1 Augusti 1780,1780-08-01,HIRSCHEN,5,2 Handwerker-,128,0008.txt
129,1 Augusti 1780,1780-08-01,RAABEN,6,Hr. Rudolph Biser von Teussen- Zellweguer ab Gaiss.,129,0008.txt
130,1 Augusti 1780,1780-08-01,RAABEN,6,"Caspar Mengli von Schaffhausen,",130,0008.txt
131,1 Augusti 1780,1780-08-01,RAABEN,6,"Bösch von Ebmat f. 2,",131,0008.txt
132,1 Augusti 1780,1780-08-01,RAABEN,6,"3 Pilger,",132,0008.txt
133,1 Augusti 1780,1780-08-01,LEUEN,7,"Ein Piemontesischer Soldat,",133,0008.txt
134,1 Augusti 1780,1780-08-01,ROESSLI,8,Franz Kurtz aus Landegg.,134,0008.txt
135,2 Augusti 1780,1780-08-02,SCHWERDT,1,Mr. Carlis de Modena.,135,0010.txt
136,2 Augusti 1780,1780-08-02,SCHWERDT,1,le Grand de Beliort.,136,0010.txt
137,2 Augusti 1780,1780-08-02,SCHWERDT,1,Hr. Blumer von Glarus.,137,0010.txt
138,2 Augusti 1780,1780-08-02,SCHWERDT,1,"de Vermenoux, de Paris f. 3.",138,0010.txt
139,2 Augusti 1780,1780-08-02,SCHWERDT,1,Meisner von Görlitz in Sachsen f. 3.,139,0010.txt
140,2 Augusti 1780,1780-08-02,SCHWERDT,1,Hugenin Aelter von Müllhausen.,140,0010.txt
141,2 Augusti 1780,1780-08-02,SCHWERDT,1,Richelmi. Mr. Bock de Turin.,141,0010.txt
142,2 Augusti 1780,1780-08-02,SCHWERDT,1,"Ryhener, Hr le Grand und Frauen von Basel.",142,0010.txt
143,2 Augusti 1780,1780-08-02,SCHWERDT,1,Hertlinger von Winterthur.,143,0010.txt
144,2 Augusti 1780,1780-08-02,SCHWERDT,1,1 Landmann.,144,0010.txt
145,2 Augusti 1780,1780-08-02,STORCHEN,2,Mr. Barade d'Auvergne f. 4.,145,0010.txt
146,2 Augusti 1780,1780-08-02,STORCHEN,2,Benedict Ochsner von Einsidlen.,146,0010.txt
147,2 Augusti 1780,1780-08-02,STORCHEN,2,Ein Burgunder Glashändler f. 2.,147,0010.txt
148,2 Augusti 1780,1780-08-02,STORCHEN,2,2 Landl. 4 Handwerker.,148,0010.txt
149,2 Augusti 1780,1780-08-02,ADLER,3,Fr. Fosterin von Schaffhausen.,149,0010.txt
150,2 Augusti 1780,1780-08-02,ADLER,3,Jgfr. Schweizerin von St. Gallen.,150,0010.txt
151,2 Augusti 1780,1780-08-02,ADLER,3,François Monde de Nancy.,151,0010.txt
152,2 Augusti 1780,1780-08-02,ADLER,3,Ein Zurzacher Fuhrmann.,152,0010.txt
153,2 Augusti 1780,1780-08-02,ROTHHAUS,4,"Mr. Pitzala de Milan, f. 5.",153,0010.txt
154,2 Augusti 1780,1780-08-02,ROTHHAUS,4,Michael Girtaner f. 5. von St. Gallen.,154,0010.txt
155,2 Augusti 1780,1780-08-02,HIRSCHEN,5,Hr. Leonhard Fornaro von Langenfee.,155,0010.txt
156,2 Augusti 1780,1780-08-02,HIRSCHEN,5,1 Pilger.,156,0010.txt
157,2 Augusti 1780,1780-08-02,RAABEN,6,Hr. Grob von Wattweil.,157,0010.txt
158,2 Augusti 1780,1780-08-02,RAABEN,6,Hartmann von Schefftenau f. 2.,158,0010.txt
159,2 Augusti 1780,1780-08-02,RAABEN,6,Chom & Comp von Glarus f. 9.,159,0010.txt
160,2 Augusti 1780,1780-08-02,LEUEN,7,1 Landmann.,160,0010.txt
161,2 Augusti 1780,1780-08-02,ROESSL,10,Hr. Unterv. Müller von Schmerfkon.,161,0010.txt
162,2 Augusti 1780,1780-08-02,ROESSL,10,Georg Witt von Gebistorf.,162,0010.txt
163,2 Augusti 1780,1780-08-02,ROESSL,10,Ein Zurzacher Fuhrmann.,163,0010.txt
164,2 Augusti 1780,1780-08-02,ROESSL,10,2 Pilger.,164,0010.txt
165,2 Augusti 1780,1780-08-02,SCHWANEN,9,Ein Gerwer von Immenstadt.,165,0010.txt
